Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,47320.65625,55200.0,56000.0,55000.0,55500.0,12993228
2020-01-03,47577.8359375,55500.0,56600.0,54900.0,56000.0,15422255
2020-01-06,47577.8359375,55500.0,55600.0,54600.0,54900.0,10278951
2020-01-07,47835.01171875,55800.0,56400.0,55600.0,55700.0,10009778
2020-01-08,48692.2734375,56800.0,57400.0,55900.0,56200.0,23501171
2020-01-09,50235.33203125,58600.0,58600.0,57400.0,58400.0,24102579
2020-01-10,51006.87109375,59500.0,59700.0,58300.0,58800.0,16000170
2020-01-13,51435.4921875,60000.0,60000.0,59100.0,59600.0,11359139
2020-01-14,51435.4921875,60000.0,61000.0,59900.0,60400.0,16906295
2020-01-15,50578.234375,59000.0,59600.0,58900.0,59500.0,14300928
2020-01-16,52035.58203125,60700.0,60700.0,59000.0,59100.0,14381774
2020-01-17,52549.92578125,61300.0,62000.0,61000.0,61900.0,16025661
2020-01-20,53492.91015625,62400.0,62800.0,61700.0,62000.0,12528855
2020-01-21,52635.6640625,61400.0,62400.0,61200.0,62000.0,11142693
2020-01-22,53407.1953125,62300.0,62600.0,60400.0,60500.0,15339565
2020-01-23,52121.3125,60800.0,61800.0,60700.0,61800.0,14916555
2020-01-28,50406.796875,58800.0,59400.0,58300.0,59400.0,23664541
2020-01-29,50663.9609375,59100.0,59700.0,58800.0,59100.0,16446102
2020-01-30,49035.17578125,57200.0,58800.0,56800.0,58800.0,20821939
2020-01-31,48349.3671875,56400.0,58400.0,56400.0,57800.0,19749457
2020-02-03,49035.17578125,57200.0,57400.0,55200.0,55500.0,23995260
2020-02-04,50492.515625,58900.0,59000.0,56800.0,57100.0,21800192
2020-02-05,51006.87109375,59500.0,60200.0,58900.0,60000.0,19278165
2020-02-06,52378.48046875,61100.0,61100.0,59700.0,60100.0,14727159
2020-02-07,51778.40625,60400.0,61200.0,59700.0,61100.0,16402493
2020-02-10,51178.32421875,59700.0,59800.0,59100.0,59200.0,13107121
2020-02-11,51349.7734375,59900.0,60700.0,59700.0,59800.0,11071231
2020-02-12,51864.13671875,60500.0,60700.0,59700.0,60300.0,12904207
2020-02-13,52035.58203125,60700.0,61600.0,60500.0,61200.0,18449775
2020-02-14,52978.56640625,61800.0,61900.0,60200.0,60900.0,13276067
2020-02-17,52721.3828125,61500.0,62000.0,61200.0,61600.0,8740596
2020-02-18,51264.046875,59800.0,60900.0,59700.0,60800.0,16674266
2020-02-19,51606.95703125,60200.0,60400.0,59400.0,59800.0,12951496
2020-02-20,51435.4921875,60000.0,61300.0,59600.0,60700.0,14591924
2020-02-21,50749.6953125,59200.0,59800.0,58500.0,58800.0,13777393
2020-02-24,48692.2734375,56800.0,58100.0,56800.0,57400.0,25627537
2020-02-25,49635.25390625,57900.0,58000.0,56200.0,56200.0,23885408
2020-02-26,48435.09375,56500.0,57000.0,56000.0,56000.0,25483102
2020-02-27,47920.73046875,55900.0,56900.0,55500.0,56300.0,23209541
2020-02-28,46463.3984375,54200.0,55500.0,54200.0,55000.0,30054227
2020-03-02,47149.21484375,55000.0,55500.0,53600.0,54300.0,30403412
2020-03-03,47492.1015625,55400.0,56900.0,55100.0,56700.0,30330295
2020-03-04,49206.62890625,57400.0,57600.0,54600.0,54800.0,24765728
2020-03-05,49549.52734375,57800.0,58000.0,56700.0,57600.0,21698990
2020-03-06,48435.09375,56500.0,57200.0,56200.0,56500.0,18716656
2020-03-09,48435.09375,56500.0,56500.0,56500.0,56500.0,0
2020-03-10,46806.3046875,54600.0,54900.0,53700.0,53800.0,32106554
2020-03-11,44663.16796875,52100.0,54400.0,52000.0,54300.0,45707281
2020-03-12,44663.16796875,52100.0,52100.0,52100.0,52100.0,0
2020-03-13,42820.05078125,49950.0,51600.0,46850.0,47450.0,59462933
2020-03-16,41919.9375,48900.0,50900.0,48800.0,50100.0,33339821
2020-03-17,40548.328125,47300.0,49650.0,46700.0,46900.0,51218151
2020-03-18,39090.98046875,45600.0,48350.0,45600.0,47750.0,40152623
2020-03-19,36819.234375,42950.0,46650.0,42300.0,46400.0,56925513
2020-03-20,38919.53125,45400.0,45500.0,43550.0,44150.0,49730008
2020-03-23,36433.48046875,42500.0,43550.0,42400.0,42600.0,41701626
2020-03-24,40248.28125,46950.0,46950.0,43050.0,43850.0,49801908
2020-03-25,41705.6171875,48650.0,49600.0,47150.0,48950.0,52735922
2020-03-26,40976.953125,47800.0,49300.0,47700.0,49000.0,42185129
2020-03-27,41405.58203125,48300.0,49700.0,46850.0,49600.0,39896178
